,u00,u01,u02,u03,u04,u05,u07,u08,u09,u10
u00,,0.884777067,0.884545764,0.86799439,0.594134594,0.619129076,0.848405766,0.635149031,0.88584302,0.866566569
u01,0.884777067,,0.84886402,0.785622184,0.760236434,0.703447684,0.868759697,0.749192203,0.67661119,0.878491903
u02,0.884545764,0.84886402,,0.746460151,0.861975982,0.874188959,0.928897965,0.85703305,0.855087894,0.885988611
u03,0.86799439,0.785622184,0.746460151,,0.809544776,0.632934625,0.841493472,0.728843766,0.845351716,0.845651615
u04,0.594134594,0.760236434,0.861975982,0.809544776,,0.822240353,0.844401642,0.771949237,0.878034358,0.839071357
u05,0.619129076,0.703447684,0.874188959,0.632934625,0.822240353,,0.82202994,0.808005245,0.791465727,0.8280696
u07,0.848405766,0.868759697,0.928897965,0.841493472,0.844401642,0.82202994,,0.899711156,0.903717673,0.928803943
u08,0.635149031,0.749192203,0.85703305,0.728843766,0.771949237,0.808005245,0.899711156,,0.912335613,0.828473101
u09,0.88584302,0.67661119,0.855087894,0.845351716,0.878034358,0.791465727,0.903717673,0.912335613,,0.850518051
u10,0.866566569,0.878491903,0.885988611,0.845651615,0.839071357,0.8280696,0.928803943,0.828473101,0.850518051,
