,u00,u01,u02,u03,u04,u05,u07,u08,u09,u10
u00,,0.6618367828789287,0.6698323998394315,0.9300780943983433,0.6728787102999694,0.6787755678814376,0.7294387726762408,0.6742149355376164,0.6898741542947943,0.6730741474173123
u01,0.6618367828789287,,0.7589742959186311,0.8740728621884334,0.7645082905374809,0.7011328581693042,0.7885325209413964,0.7266192613679319,0.7086976061118637,0.7702459329157066
u02,0.6698323998394315,0.7589742959186311,,0.8078771504371861,0.7602477255648531,0.7712550577456024,0.7774249708365873,0.7704325360193156,0.7926189422251592,0.8170377052538955
u03,0.9300780943983433,0.8740728621884334,0.8078771504371861,,0.9045925202468297,0.7665540215358141,0.9039772727272724,0.8616953541733263,0.8668482244356998,0.8648962312788101
u04,0.6728787102999694,0.7645082905374809,0.7602477255648531,0.9045925202468297,,0.7657292493428509,0.7510647360041145,0.8300092255091476,0.8468145698371377,0.7356350381524128
u05,0.6787755678814376,0.7011328581693042,0.7712550577456024,0.7665540215358141,0.7657292493428509,,0.763564086575682,0.748607221304886,0.6744755526705195,0.7705658909397368
u07,0.7294387726762408,0.7885325209413964,0.7774249708365873,0.9039772727272724,0.7510647360041145,0.763564086575682,,0.7687714011223094,0.8001171168787118,0.7899799740037198
u08,0.6742149355376164,0.7266192613679319,0.7704325360193156,0.8616953541733263,0.8300092255091476,0.748607221304886,0.7687714011223094,,0.8492265030552243,0.8117802900156312
u09,0.6898741542947943,0.7086976061118637,0.7926189422251592,0.8668482244356998,0.8468145698371377,0.6744755526705195,0.8001171168787118,0.8492265030552243,,0.7293332191291287
u10,0.6730741474173123,0.7702459329157066,0.8170377052538955,0.8648962312788101,0.7356350381524128,0.7705658909397368,0.7899799740037198,0.8117802900156312,0.7293332191291287,
